t,n_trades_alive,n_winners_alive,all_mfe_p10,all_mfe_p25,all_mfe_p50,all_mfe_p75,all_mfe_p90,all_mae_p10,all_mae_p25,all_mae_p50,all_mae_p75,all_mae_p90,win_mfe_p10,win_mfe_p25,win_mfe_p50,win_mfe_p75,win_mfe_p90,win_mae_p10,win_mae_p25,win_mae_p50,win_mae_p75,win_mae_p90
79,3289,1631,0.6791141626148494,1.7170978493712377,3.8254301949865446,6.704645729982594,9.804464723950598,-10.124821344492963,-6.729573111954875,-3.8020087088183017,-1.7840149732179373,-0.7083346997937363,3.7067753709046647,4.573275851412022,6.3948524983998825,8.79265534227519,11.90187887612806,-4.764459086722691,-2.9565426182911296,-1.8233288806724213,-0.8869120626539878,-0.38521469685938586
80,3289,1631,0.6835278887600357,1.7264970532782455,3.836677059724275,6.740474405413696,9.883941983153628,-10.271400915794763,-6.797282476042033,-3.821956441319281,-1.791699465574552,-0.7191411507814337,3.7067753709046647,4.587995155898126,6.409167017675591,8.854348423594583,11.923270149186118,-4.8299617495487,-2.9661634333486324,-1.8378242981254125,-0.8941550474849767,-0.39468996885304364
81,3289,1631,0.6835278887600357,1.7331061846866815,3.8425336078734262,6.774424607461058,9.913488491010495,-10.353348724932943,-6.888090937056946,-3.843377427945291,-1.7967003437615408,-0.7238948853126489,3.721293216113313,4.593599638470847,6.4628556101077494,8.881003844898078,11.929290239607901,-4.864883657478321,-2.9744842507053875,-1.840567457063725,-0.8982798372949778,-0.39468996885304364
82,3289,1631,0.6845038555034463,1.749856858679278,3.8578166617301646,6.819332925602514,9.964915152666487,-10.41302720998865,-6.905771408941597,-3.8652568735232453,-1.8199356552192667,-0.7238948853126489,3.726329053071642,4.609711000788387,6.470264980596794,8.964013362894104,12.063419010354501,-4.991168192430583,-2.9814129034556602,-1.8607342834248,-0.900820428308374,-0.39468996885304364
83,3289,1631,0.6900555161615043,1.7623691233291576,3.8909987182928765,6.873268466222496,9.99796091964671,-10.430582650369365,-6.9298361079985,-3.913098005606687,-1.8343026797291975,-0.7244261935859,3.732185945187148,4.633969752864781,6.507244007704745,8.99334226385233,12.102108096198378,-5.092655223383041,-2.999680614061184,-1.8697677515900888,-0.9066960091215437,-0.39468996885304364
84,3289,1631,0.6908538730060075,1.7960521576755466,3.9090181858753335,6.8922952802308055,10.127346851930655,-10.518891441889046,-6.958915822244717,-3.947333406441602,-1.8378242981254125,-0.7244261935859,3.7424914684925845,4.650614761692349,6.516610871101249,9.072377279142062,12.172873507748923,-5.268161462920872,-3.0227698068955124,-1.8697677515900888,-0.9066960091215437,-0.3999313135397978
85,3289,1631,0.6968113544471769,1.8011040199648618,3.937914360536446,6.918183412633158,10.203518816740507,-10.614744424543261,-7.056289868060605,-3.9546330364394495,-1.8607342834248,-0.7263794152913905,3.7675240212793697,4.653243803314062,6.555012017216523,9.113957671006986,12.296247769212274,-5.338064520674081,-3.0368162294606824,-1.8767892866651168,-0.9204043902172971,-0.40128499647110816
86,3289,1631,0.709800615087764,1.8190560014775614,3.959561275660817,6.9915906362425115,10.281121614474007,-10.706377074212485,-7.126806187439053,-3.96931050645614,-1.8678911143872041,-0.7314949254528831,3.7809981091778067,4.659792996570717,6.566260629074703,9.161313819962864,12.480553141335616,-5.560189773580765,-3.0565196199858686,-1.8846497507806832,-0.9246782368759208,-0.40128499647110816
87,3288,1631,0.7138815816732542,1.8241789935234616,3.9915598859783907,7.015229241120142,10.317007318595913,-10.774645245710456,-7.183641261964689,-4.004841694708713,-1.872728041602862,-0.7380663128759184,3.7809981091778067,4.672177615368035,6.602101850465024,9.187596831895885,12.509389720597268,-5.662999585879315,-3.064961856926849,-1.8863114908301175,-0.9325544819116601,-0.40128499647110816
88,3288,1631,0.7138815816732542,1.843576776908444,3.997808453509878,7.077111621678975,10.35910749762401,-10.802771969028099,-7.225392447637687,-4.033173752170443,-1.8761434457474222,-0.7380663128759184,3.7886918649397585,4.683954933787342,6.615139890196918,9.201975539792775,12.566772326019013,-5.78008317043697,-3.085950301791488,-1.8950089050609777,-0.9325544819116601,-0.40128499647110816
89,3287,1630,0.7135348057861525,1.8501828370429338,4.015211859662522,7.11546381563142,10.395192626300114,-10.876078923624089,-7.262635734250364,-4.051729382410369,-1.878713467743721,-0.7380285488318178,3.801514181908047,4.730824474696323,6.646575179159295,9.242201364777383,12.582356756090665,-5.849791766095563,-3.1071904943821798,-1.9098389409342003,-0.9307053954974682,-0.40114962817797695
90,3287,1630,0.7151231608584762,1.8683861390334138,4.0306673061147364,7.159139273796954,10.479950122236504,-10.902434128949901,-7.303022660493525,-4.054510290028616,-1.88257274727928,-0.7502368227536842,3.8070459043413583,4.755069325371426,6.704211787711344,9.307716149767748,12.625901673251219,-5.889274302008512,-3.1071904943821798,-1.9114409176327425,-0.9363695736171528,-0.40454975364105555
91,3287,1630,0.7162820552687559,1.8826740531481034,4.0443998190186035,7.202810157747669,10.548655144377046,-11.023014508002817,-7.34118737110386,-4.081053370143458,-1.8846935068164008,-0.7514594658017902,3.8092814629376526,4.772156677162336,6.728350226478932,9.3774028189896,12.76242155353902,-5.889274302008512,-3.131891744810949,-1.9167472588626917,-0.9394060705979779,-0.4050391067448393
92,3285,1629,0.7175011245446979,1.884772521293361,4.096188215742818,7.280433863344194,10.63617862431627,-11.09856009736595,-7.387049748558499,-4.08845935764347,-1.8863114908301175,-0.7544197083942831,3.8299066330237554,4.808424843357707,6.774424607461058,9.50588283117541,12.897463747433706,-5.951941028599109,-3.1664230861128564,-1.922640574984402,-0.9709918474700727,-0.40993549123394
