trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,time_to_peak_mfe,calendar_year,num_higher_highs,num_higher_lows,most_recent_sh_price,most_recent_sh_age,most_recent_sl_price,most_recent_sl_age,hh_range_atr,hl_range_atr,pullback_depth_atr,trigger_body_atr,trigger_close_pos,trigger_break_size_atr
358,NZD_CHF,2022-02-21 04:00:00,2022-02-21 08:00:00,0.618645,0.6143030882,2022-02-21 20:00:00,0.6142180882,stoploss,-1.01957663,4,7.652159049,-1.516613012,1.7,1.7,0,2022,2,3,0.62039,5,0.61468,7,0.801490248,2.358408086,1.278243623,0.4606265793,0.9271523179,0.244132087
359,GBP_CAD,2022-02-22 16:00:00,2022-02-22 20:00:00,1.73327,1.72522951,2022-02-23 12:00:00,1.72508951,stoploss,-1.017411873,5,0.3420189379,-12.90468545,2.8,2.8,0,2022,3,2,1.73778,7,1.72687,12,2.626705443,2.848084974,3.720432933,2.12176112,0.9910179641,0.6641385922
360,AUD_CHF,2022-02-25 12:00:00,2022-02-25 16:00:00,0.67055,0.664160723,2022-02-28 00:00:00,0.664090723,stoploss,-1.010955856,3,6.127453821,-1.094020491,1.4,1.4,0,2022,2,2,0.66964,13,0.65833,8,1.489996434,0.3787595976,0.8289961476,1.061152922,0.9912663755,0.9609850948
361,NZD_CHF,2022-02-25 12:00:00,2022-02-25 16:00:00,0.625545,0.619681722,2022-02-28 00:00:00,0.619596722,stoploss,-1.01449701,3,4.489809278,-1.57676303,1.7,1.7,0,2022,2,2,0.62651,13,0.61498,5,2.517363151,0.9960298645,1.76612348,1.326902799,0.9708520179,1.27232582
362,USD_JPY,2022-03-02 00:00:00,2022-03-02 04:00:00,115.007,114.4306495,2022-04-27 04:00:00,127.542,time_exit,21.74891836,240,24.98479652,-0.6194147471,0.6,0.6,209,2022,3,2,115.762,14,115.205,12,1.946732062,2.76220806,3.01271928,0.419883386,0.723183391,0.270668629
363,AUD_NZD,2022-03-02 12:00:00,2022-03-02 16:00:00,1.073985,1.069549678,2022-03-08 08:00:00,1.069444678,stoploss,-1.023673589,23,5.824830272,-2.882541321,2.1,2.1,6,2022,4,4,1.0751,8,1.07203,5,1.163387815,2.520673599,0.7864872478,0.2570275405,0.595890411,0.1082221223
364,CHF_JPY,2022-03-02 20:00:00,2022-03-03 00:00:00,125.553,124.817505,2022-03-07 00:00:00,124.806505,stoploss,-1.014955914,13,14.49228105,-1.726728298,2.2,2.2,3,2022,3,3,125.686,9,124.771,6,1.623396526,2.004092528,0.8326423747,0.4677122319,0.7601626016,0.1305243438
365,AUD_JPY,2022-03-07 00:00:00,2022-03-07 04:00:00,85.337,84.4910855,2022-03-07 16:00:00,84.4870855,stoploss,-1.00472861,4,12.30029755,-1.80396483,0.8,0.8,1,2022,2,3,85.144,4,84.159,6,3.033403508,3.99804001,1.260113801,1.600634587,0.8317490494,1.41858309
366,USD_CHF,2022-03-07 00:00:00,2022-03-07 04:00:00,0.921135,0.9153089107,2022-05-02 04:00:00,0.974675,time_exit,9.18969776,240,9.401675286,-0.2394402013,0.9,0.9,230,2022,2,2,0.92424,14,0.91689,16,1.191193546,0.562984846,2.648020463,1.520745651,0.8535645472,0.4634326476
367,GBP_CHF,2022-03-10 12:00:00,2022-03-10 16:00:00,1.226085,1.217333595,2022-03-10 16:00:00,1.217238595,stoploss,-1.0108554,1,2.145369856,-2.087093498,1.9,1.9,0,2022,2,2,1.22362,5,1.21185,13,0.518773856,0.3199486336,0.7036229416,1.202092724,0.9947916667,0.5027764243
368,EUR_AUD,2022-03-11 00:00:00,2022-03-11 04:00:00,1.49699,1.481015101,2022-03-22 12:00:00,1.480895101,stoploss,-1.007511785,45,2.249153486,-4.067005343,2.4,2.4,13,2022,2,2,1.51597,8,1.49365,9,1.362136929,4.6785898,2.904978384,0.5283288455,0.7822822823,0.3042272736
369,EUR_CAD,2022-03-11 00:00:00,2022-03-11 04:00:00,1.40479,1.391981026,2022-03-11 16:00:00,1.391891026,stoploss,-1.007026324,4,0.8876589395,-5.158102562,1.8,1.8,2,2022,2,2,1.42274,8,1.40333,10,1.842458309,4.231408489,3.13121703,0.4512461452,0.6848341232,0.05464918713
370,EUR_NZD,2022-03-11 00:00:00,2022-03-11 04:00:00,1.60346,1.587462082,2022-03-22 12:00:00,1.587272082,stoploss,-1.011876546,45,2.524703552,-2.765359869,3.8,3.8,13,2022,2,2,1.62209,5,1.59926,9,1.982758026,4.40182283,2.748223491,0.4900637743,0.7893700787,0.005000650759
371,CHF_JPY,2022-03-11 04:00:00,2022-03-11 08:00:00,125.413,124.7104689,2022-05-06 08:00:00,132.344,time_exit,9.865755865,240,15.3715622,-0.15800013,2.2,2.2,164,2022,2,3,125.307,4,124.577,9,0.8085051697,0.8369736616,0.898132219,1.15866762,0.8508946322,0.8398205108
372,GBP_NZD,2022-03-11 12:00:00,2022-03-11 16:00:00,1.91286,1.899372269,2022-03-23 12:00:00,1.899132269,stoploss,-1.01779395,48,3.170288704,-3.094664418,4.8,4.8,10,2022,3,2,1.9315,8,1.9194,12,0.5634750738,2.187172984,2.928212635,0.1838708135,0.5049115914,0.1141778439
373,EUR_CHF,2022-03-14 00:00:00,2022-03-14 04:00:00,1.02209,1.013515782,2022-04-05 16:00:00,1.013465782,stoploss,-1.005831436,100,2.687125665,-1.522004771,1,1,22,2022,3,2,1.03051,8,1.02043,6,4.777112294,5.369586182,2.390134081,0.5318269546,0.6216931217,0.3358907082
374,EUR_GBP,2022-03-14 00:00:00,2022-03-14 04:00:00,0.8379,0.8322106835,2022-03-22 12:00:00,0.8321706835,stoploss,-1.007030721,39,3.736828469,-2.2744384,0.8,0.8,21,2022,3,2,0.84358,9,0.8366,8,3.118124979,5.737068732,2.381027883,0.5026965862,0.7419354839,0.08436865782
