trade_id,selected_SL,final_r_X,peak_mfe_X,peak_mfe_atr,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,sl_triggered,truncated_at_bar,peak_mfe_bar_X
789,2,-1,0.7788110162,1.557622032,0,0,1,1,15,5
791,2,-1,1.144728196,2.289456392,1,0,0.75,1,28,4
792,2,-1,1.292906301,2.585812602,1,0,0.4594594595,1,64,38
793,2,-1,0.07937762014,0.1587552403,0,0,0,1,29,1
794,2,-1,0.2861767857,0.5723535714,0,0,1,1,5,2
795,2,-1,0.9433912207,1.886782441,0,0,1,1,11,2
802,2,-1,1.516071634,3.032143268,1,0,0.525,1,79,40
805,2,-1,0.5916315398,1.18326308,0,0,0,1,9,0
809,2,-1,0.2440711368,0.4881422736,0,0,1,1,7,4
820,2,-1,1.089895142,2.179790284,1,0,0.7142857143,1,20,8
821,2,-1,1.872681897,3.745363794,1,0,0.8,1,80,5
823,2,-1,1.8986149,3.7972298,1,0,0.7333333333,1,31,15
824,2,-1,0.7788038796,1.557607759,0,0,0,1,28,5
826,2,-1,1.21448209,2.42896418,1,0,1,1,11,3
827,2,-1,0.5953293844,1.190658769,0,0,0.5714285714,1,36,7
832,2,-1,0.6301243343,1.260248669,0,0,0.6,1,14,7
833,2,-1,0.169295247,0.338590494,0,0,0,1,11,2
834,2,-1,2.154479792,4.308959584,1,0,1,1,28,3
836,2,-1,1.898220574,3.796441148,1,0,0.7142857143,1,57,14
837,2,-1,0.6810341425,1.362068285,0,0,0.6666666667,1,14,6
840,2,-1,0.155557628,0.311115256,0,0,1,1,3,1
841,2,-1,0.1957455513,0.3914911026,0,0,1,1,10,2
842,2,-1,1.02934651,2.05869302,1,0,0.6666666667,1,17,6
844,2,-1,1.32708271,2.65416542,1,0,1,1,12,4
847,2,-1,0.9846439833,1.969287967,0,0,0.6666666667,1,12,4
849,2,-1,0.02519615457,0.05039230914,0,0,0,1,7,0
854,2,-1,0.1191028138,0.2382056276,0,0,1,1,7,4
