feature,importance,importance_std,fold,classifier,cluster_id
hour_of_day,0.0,0.0,1,rf,0
kijun_26_distance,0.0,0.0,1,rf,0
prior_session_high_distance,0.0,0.0,1,rf,0
prior_session_low_distance,0.0,0.0,1,rf,0
range_close_ratio,0.0,0.0,1,rf,0
session_dead,0.0,0.0,1,rf,0
session_ldn_ny_overlap,0.0,0.0,1,rf,0
session_london,0.0,0.0,1,rf,0
session_ny,0.0,0.0,1,rf,0
session_tokyo,0.0,0.0,1,rf,0
spread_percentile_100,0.0,0.0,1,rf,0
spread_vs_trailing_100,0.0,0.0,1,rf,0
swing_high_distance_14,0.0,0.0,1,rf,0
swing_low_distance_14,0.0,0.0,1,rf,0
w1_close_slope_sign,0.0,0.0,1,rf,0
atr_14,0.0,0.0,2,rf,0
atr_percentile_100,0.0,0.0,2,rf,0
atr_vs_trailing_100,0.0,0.0,2,rf,0
d1_atr_percentile_100,0.0,0.0,2,rf,0
d1_close_slope_magnitude,0.0,0.0,2,rf,0
d1_close_slope_sign,0.0,0.0,2,rf,0
day_of_week,0.0,0.0,2,rf,0
distance_to_round_number,0.0,0.0,2,rf,0
hour_of_day,0.0,0.0,2,rf,0
kijun_26_distance,0.0,0.0,2,rf,0
prior_session_high_distance,0.0,0.0,2,rf,0
prior_session_low_distance,0.0,0.0,2,rf,0
range_close_ratio,0.0,0.0,2,rf,0
session_dead,0.0,0.0,2,rf,0
session_ldn_ny_overlap,0.0,0.0,2,rf,0
session_london,0.0,0.0,2,rf,0
session_ny,0.0,0.0,2,rf,0
session_tokyo,0.0,0.0,2,rf,0
spread_percentile_100,0.0,0.0,2,rf,0
spread_vs_trailing_100,0.0,0.0,2,rf,0
swing_high_distance_14,0.0,0.0,2,rf,0
swing_low_distance_14,0.0,0.0,2,rf,0
w1_close_slope_sign,0.0,0.0,2,rf,0
atr_14,0.0,0.0,3,rf,0
atr_percentile_100,0.0,0.0,3,rf,0
atr_vs_trailing_100,0.0,0.0,3,rf,0
d1_atr_percentile_100,0.0,0.0,3,rf,0
d1_close_slope_magnitude,0.0,0.0,3,rf,0
d1_close_slope_sign,0.0,0.0,3,rf,0
day_of_week,0.0,0.0,3,rf,0
distance_to_round_number,0.0,0.0,3,rf,0
hour_of_day,0.0,0.0,3,rf,0
kijun_26_distance,0.0,0.0,3,rf,0
prior_session_high_distance,0.0,0.0,3,rf,0
prior_session_low_distance,0.0,0.0,3,rf,0
range_close_ratio,0.0,0.0,3,rf,0
session_dead,0.0,0.0,3,rf,0
session_ldn_ny_overlap,0.0,0.0,3,rf,0
session_london,0.0,0.0,3,rf,0
session_ny,0.0,0.0,3,rf,0
session_tokyo,0.0,0.0,3,rf,0
spread_percentile_100,0.0,0.0,3,rf,0
spread_vs_trailing_100,0.0,0.0,3,rf,0
swing_high_distance_14,0.0,0.0,3,rf,0
swing_low_distance_14,0.0,0.0,3,rf,0
w1_close_slope_sign,0.0,0.0,3,rf,0
atr_14,0.0,0.0,4,rf,0
atr_percentile_100,0.0,0.0,4,rf,0
atr_vs_trailing_100,0.0,0.0,4,rf,0
d1_atr_percentile_100,0.0,0.0,4,rf,0
d1_close_slope_magnitude,0.0,0.0,4,rf,0
d1_close_slope_sign,0.0,0.0,4,rf,0
day_of_week,0.0,0.0,4,rf,0
distance_to_round_number,0.0,0.0,4,rf,0
hour_of_day,0.0,0.0,4,rf,0
kijun_26_distance,0.0,0.0,4,rf,0
prior_session_high_distance,0.0,0.0,4,rf,0
prior_session_low_distance,0.0,0.0,4,rf,0
range_close_ratio,0.0,0.0,4,rf,0
session_dead,0.0,0.0,4,rf,0
session_ldn_ny_overlap,0.0,0.0,4,rf,0
session_london,0.0,0.0,4,rf,0
session_ny,0.0,0.0,4,rf,0
session_tokyo,0.0,0.0,4,rf,0
spread_percentile_100,0.0,0.0,4,rf,0
spread_vs_trailing_100,0.0,0.0,4,rf,0
swing_high_distance_14,0.0,0.0,4,rf,0
swing_low_distance_14,0.0,0.0,4,rf,0
w1_close_slope_sign,0.0,0.0,4,rf,0
atr_14,0.0,0.0,5,rf,0
atr_percentile_100,0.0,0.0,5,rf,0
atr_vs_trailing_100,0.0,0.0,5,rf,0
d1_atr_percentile_100,0.0,0.0,5,rf,0
d1_close_slope_magnitude,0.0,0.0,5,rf,0
d1_close_slope_sign,0.0,0.0,5,rf,0
day_of_week,0.0,0.0,5,rf,0
distance_to_round_number,0.0,0.0,5,rf,0
hour_of_day,0.0,0.0,5,rf,0
kijun_26_distance,0.0,0.0,5,rf,0
prior_session_high_distance,0.0,0.0,5,rf,0
prior_session_low_distance,0.0,0.0,5,rf,0
