trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold
1618,GBP_CHF,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-08-06 16:00:00,stoploss,4,0,-1.006801655,0.07911398164,-1.079315179,1.9,1.9,6
1619,GBP_JPY,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-08-19 08:00:00,trail_stop,56,1,0.725996973,1.519033861,-0.6943605242,2.4,2.4,6
1620,NZD_CAD,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-08-14 04:00:00,trail_stop,37,1,0.7045911845,1.559520394,-0.9780043151,2.3,2.3,6
1621,NZD_CHF,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-08-14 04:00:00,trail_stop,37,1,1.228399321,2.005753395,-0.8288920627,1.7,1.7,6
1622,NZD_JPY,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-08-08 00:00:00,trail_stop,12,1,0.2482723523,1.146310763,-0.6449540111,1.4,1.4,6
1624,USD_JPY,2024-08-06 00:00:00,2024-08-06 04:00:00,2024-08-19 04:00:00,trail_stop,55,1,0.6492506852,1.439899678,-0.3258528993,0.6,0.6,6
1625,CHF_JPY,2024-08-09 00:00:00,2024-08-09 04:00:00,2024-09-03 08:00:00,trail_stop,104,1,0.4348968889,1.261598915,-0.9607675908,2.2,2.2,6
1626,AUD_CAD,2024-08-12 00:00:00,2024-08-12 04:00:00,2024-08-14 16:00:00,trail_stop,16,1,0.3924383127,1.194757184,-0.05403424452,1.9,1.9,6
1629,AUD_NZD,2024-08-15 12:00:00,2024-08-15 16:00:00,2024-08-20 08:00:00,stoploss,17,0,-1.015893084,0.280777819,-1.160195139,2.1,2.1,6
1631,EUR_NZD,2024-08-30 16:00:00,2024-08-30 20:00:00,2024-09-04 16:00:00,trail_stop,18,1,1.344146284,2.209661727,-0.6187510322,3.8,3.8,6
1639,GBP_USD,2024-09-11 04:00:00,2024-09-11 08:00:00,2024-09-11 16:00:00,stoploss,3,0,-1.007680165,0.1544566443,-1.714383416,0.9,0.9,6
1642,CHF_JPY,2024-09-17 16:00:00,2024-09-17 20:00:00,2024-09-20 00:00:00,trail_stop,14,1,0.521749452,1.459165161,-0.3422010039,2.2,2.2,6
1646,GBP_AUD,2024-09-20 16:00:00,2024-09-20 20:00:00,2024-09-25 00:00:00,stoploss,14,0,-1.018569068,0.2395409823,-1.064936073,4,4,6
1648,USD_CHF,2024-09-25 08:00:00,2024-09-25 12:00:00,2024-09-27 12:00:00,stoploss,13,0,-1.008634922,0.9623140317,-1.129255848,0.9,0.9,6
1656,EUR_GBP,2024-10-07 08:00:00,2024-10-07 12:00:00,2024-10-15 00:00:00,stoploss,34,0,-1.011316182,0.6648257064,-1.009969265,0.8,0.8,6
1661,AUD_JPY,2024-10-09 16:00:00,2024-10-09 20:00:00,2024-10-24 16:00:00,trail_stop,66,1,0.5911434478,1.489819942,-0.8146657238,0.8,0.8,6
1663,EUR_CAD,2024-10-11 00:00:00,2024-10-11 04:00:00,2024-10-16 16:00:00,stoploss,22,0,-1.014031586,0.9401162799,-1.184889507,1.8,1.8,6
1673,AUD_CHF,2024-10-17 00:00:00,2024-10-17 04:00:00,2024-10-22 00:00:00,stoploss,18,0,-1.016807035,0.6962914445,-1.073249227,1.4,1.4,6
1682,EUR_AUD,2024-10-25 00:00:00,2024-10-25 04:00:00,2024-10-30 08:00:00,trail_stop,20,1,1.841885654,2.728363149,-0.231418362,2.4,2.4,6
1687,NZD_CHF,2024-10-25 12:00:00,2024-10-25 16:00:00,2024-10-25 20:00:00,stoploss,2,0,-1.0279184,0.2151359039,-1.101955661,1.7,1.7,6
1694,AUD_CAD,2024-11-05 00:00:00,2024-11-05 04:00:00,2024-11-06 04:00:00,stoploss,7,0,-1.018758078,0.7829029353,-1.795839142,1.9,1.9,6
1699,AUD_CAD,2024-11-11 00:00:00,2024-11-11 04:00:00,2024-11-12 16:00:00,stoploss,10,0,-1.013817256,0.1723520842,-1.196283454,1.9,1.9,6
1717,EUR_JPY,2024-11-19 16:00:00,2024-11-19 20:00:00,2024-11-21 08:00:00,stoploss,10,0,-1.003148139,0.664257341,-1.035108122,1,1,6
