cell,spread_mult,slip_per_fill_pips,risk_level,fold,fold_id,trades,roi,dd,ratio
4,1.5,0.0,r_recommended,F10,10,196,0.5067849259535349,0.046704259783461356,10.850935831189313
4,1.5,0.0,r_recommended,F11,11,188,0.5639266758065811,0.027172846422678896,20.75331627149369
5,1.5,0.5,r_base,Holdout,0,1093,0.46239719907716914,0.06165339246814459,7.499947376230482
5,1.5,0.5,r_base,F1,1,201,0.32951587247349146,0.035616002345629325,9.251905064351742
5,1.5,0.5,r_base,F2,2,182,0.3766939699562053,0.030485583293581812,12.356462604916318
5,1.5,0.5,r_base,F3,3,179,0.423054731846382,0.025188372930351886,16.795635550425043
5,1.5,0.5,r_base,F4,4,195,0.6438756859907244,0.0779934448816649,8.255510279968284
5,1.5,0.5,r_base,F5,5,192,0.4302522196234668,0.027139946578417225,15.853097513670887
5,1.5,0.5,r_base,F6,6,190,0.292492949475752,0.05293118212589168,5.525910016142959
5,1.5,0.5,r_base,F7,7,170,0.4328728779657647,0.03336000106386505,12.975805280613276
5,1.5,0.5,r_base,F8,8,191,0.6781822542212617,0.025426903734366294,26.67183788109637
5,1.5,0.5,r_base,F9,9,175,0.18467493730150197,0.03391959207139106,5.444491694145789
5,1.5,0.5,r_base,F10,10,196,0.4681686049504412,0.05025225480252171,9.31637011692753
5,1.5,0.5,r_base,F11,11,188,0.5249045825805676,0.02689336366884392,19.517996671746637
5,1.5,0.5,r_recommended,Holdout,0,1093,0.4766488315326327,0.06319691768675209,7.542279734199001
5,1.5,0.5,r_recommended,F1,1,201,0.3391919278560329,0.0365196854625887,9.287920297219046
5,1.5,0.5,r_recommended,F2,2,182,0.3879708352909079,0.031259553030214306,12.411272640907884
5,1.5,0.5,r_recommended,F3,3,179,0.43592602087668464,0.025832627159228135,16.875016938451793
5,1.5,0.5,r_recommended,F4,4,195,0.6648648648977775,0.07992524825285666,8.318583669510394
5,1.5,0.5,r_recommended,F5,5,192,0.44338268263461345,0.02783076709971943,15.93138561527768
5,1.5,0.5,r_recommended,F6,6,190,0.3009567786216676,0.05426121066225344,5.546444226889077
5,1.5,0.5,r_recommended,F7,7,170,0.44611083774170646,0.03420581538010529,13.041958882850443
5,1.5,0.5,r_recommended,F8,8,191,0.7005349678128143,0.026074824026473965,26.86633540082786
5,1.5,0.5,r_recommended,F9,9,175,0.18978193474117022,0.03478198190506844,5.456328948107329
5,1.5,0.5,r_recommended,F10,10,196,0.48264291041501584,0.051529950658217714,9.36625989836935
5,1.5,0.5,r_recommended,F11,11,188,0.5414400995437438,0.02757916566565861,19.632214625620144
6,1.5,1.0,r_base,Holdout,0,1093,0.44175584265538337,0.06330920620157707,6.977750459369667
6,1.5,1.0,r_base,F1,1,201,0.3173562114711628,0.03618140308705638,8.771252201236345
6,1.5,1.0,r_base,F2,2,182,0.36536964106400194,0.030632394561338098,11.92755729012266
6,1.5,1.0,r_base,F3,3,179,0.3976644739471942,0.02638855676416413,15.069580254090505
6,1.5,1.0,r_base,F4,4,195,0.626644542764744,0.07896053399283302,7.936174074273895
6,1.5,1.0,r_base,F5,5,192,0.4091582492236314,0.02794069261319817,14.643811980178327
6,1.5,1.0,r_base,F6,6,190,0.2812842554012227,0.053588769590712494,5.248940357271652
6,1.5,1.0,r_base,F7,7,170,0.42063116733879835,0.033674582877626716,12.49105798481217
6,1.5,1.0,r_base,F8,8,191,0.6582236563709261,0.025774239783892386,25.53804348411017
6,1.5,1.0,r_base,F9,9,175,0.1714221658515538,0.03470645207335223,4.939201664556559
