trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,sweep_magnitude_atr,reclaim_strength_ratio,time_to_peak_mfe,calendar_year
97,GBP_CAD,2021-03-15 20:00:00,2021-03-16 00:00:00,1.73448,1.725231873,2021-03-16 08:00:00,1.725221873,stoploss,-1.0010813,3,2.61890866,-5.327565222,0.6,0.2,1.73089,0.4346826099,1.666666667,0,2021
98,AUD_CHF,2021-03-16 12:00:00,2021-03-16 16:00:00,0.716775,0.7121979311,2021-03-23 04:00:00,0.7121429311,stoploss,-1.012016424,28,1.589445168,-3.394093565,1.1,1.1,0.7156,0.3364598706,1.467532468,11,2021
99,GBP_CHF,2021-03-16 12:00:00,2021-03-16 16:00:00,1.28507,1.277341292,2021-03-22 16:00:00,1.277261292,stoploss,-1.010351018,25,2.881464745,-3.471472793,1.6,1.6,1.28149,0.6754039501,1.348659004,11,2021
100,USD_CAD,2021-03-18 08:00:00,2021-03-18 12:00:00,1.240305,1.233770475,2021-04-28 16:00:00,1.233755475,stoploss,-1.0022955,176,3.841901413,-5.468645569,0.3,0.3,1.23778,0.3978866232,1.930769231,145,2021
101,AUD_CHF,2021-03-23 08:00:00,2021-03-23 12:00:00,0.712475,0.7073969391,2021-04-07 16:00:00,0.7073419391,stoploss,-1.010830906,68,1.438541241,-2.970622124,1.1,1.1,0.71051,0.4174821945,1.820754717,28,2021
102,AUD_USD,2021-03-23 12:00:00,2021-03-23 16:00:00,0.767805,0.7616592775,2021-03-24 00:00:00,0.7616442775,stoploss,-1.002440722,3,3.463384517,-2.382958246,0.3,0.3,0.76678,0.4100412959,0.8015873016,0,2021
103,NZD_CHF,2021-03-23 12:00:00,2021-03-23 16:00:00,0.6549,0.6499546167,2021-04-09 08:00:00,0.6499346167,stoploss,-1.004044176,77,1.929071909,-1.696531794,0.4,0.4,0.65361,0.400373415,1.262626263,53,2021
104,AUD_JPY,2021-03-24 08:00:00,2021-03-24 12:00:00,82.814,82.10383937,2021-05-19 12:00:00,84.5725,time_exit,2.476200358,240,4.207498818,-0.5998642893,0.4,0.9,82.381,0.2731776341,4.443298969,198,2021
105,GBP_USD,2021-03-24 08:00:00,2021-03-24 12:00:00,1.373035,1.364255259,2021-05-19 12:00:00,1.418215,time_exit,5.145937705,240,5.577043818,-0.7056016839,1.1,0.9,1.37008,0.6196082584,1.066176471,234,2021
106,EUR_CAD,2021-03-26 08:00:00,2021-03-26 12:00:00,1.4829,1.476209188,2021-03-31 16:00:00,1.476199188,stoploss,-1.001494587,20,5.437306989,-3.693124126,0.2,0.2,1.48157,0.2899498504,1.391752577,5,2021
