trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,n_swing_lows,most_recent_sl_lag,atr14_at_signal,time_to_peak_mfe,calendar_year
82,EUR_USD,2020-11-13 20:00:00,2020-11-16 00:00:00,1.184015,1.178626964,2021-01-13 00:00:00,1.220605,time_exit,6.790971281,240,9.451495285,-0.7451694368,0.3,0.7,1.17455,4,9,0.002694018167,213,2020
83,NZD_CAD,2020-11-16 00:00:00,2020-11-16 04:00:00,0.903005,0.8969718805,2021-01-13 04:00:00,0.918935,time_exit,2.640425063,240,3.758420483,-0.8229573406,2.3,2.3,0.88282,3,4,0.003016559763,212,2020
84,NZD_JPY,2020-11-16 20:00:00,2020-11-17 00:00:00,72.196,71.62346271,2020-11-17 16:00:00,71.61846271,stoploss,-1.008733056,5,5.900052362,-1.180709117,1.4,1,71.478,3,7,0.2862686458,0,2020
85,EUR_AUD,2020-11-17 00:00:00,2020-11-17 04:00:00,1.62136,1.611713702,2020-12-10 16:00:00,1.611593702,stoploss,-1.012440006,106,2.137607671,-5.737952695,2.4,2.4,1.61443,2,20,0.00482314886,69,2020
86,EUR_NZD,2020-11-17 08:00:00,2020-11-17 12:00:00,1.72074,1.70968242,2020-11-18 20:00:00,1.70949242,stoploss,-1.017182784,9,1.262482428,-3.281007342,3.8,3.8,1.70464,1,20,0.005528789823,0,2020
87,GBP_NZD,2020-11-17 08:00:00,2020-11-17 12:00:00,1.91739,1.904498344,2020-11-26 12:00:00,1.904258344,stoploss,-1.018616693,43,0.8168073997,-5.066067547,4.8,4.8,1.90909,2,4,0.006445827991,25,2020
88,AUD_JPY,2020-11-18 08:00:00,2020-11-18 12:00:00,76.0575,75.49089524,2020-11-19 16:00:00,75.48639524,stoploss,-1.007942044,8,8.588879445,-1.171010277,0.9,0.9,75.756,1,19,0.2833023814,2,2020
89,GBP_AUD,2020-11-19 08:00:00,2020-11-19 12:00:00,1.81803,1.807145409,2020-11-27 12:00:00,1.806945409,stoploss,-1.018374599,37,1.254985089,-7.0255278,4,4,1.79883,2,16,0.005442295737,13,2020
90,NZD_JPY,2020-11-20 12:00:00,2020-11-20 16:00:00,72.038,71.5706776,2021-01-19 16:00:00,74.058,time_exit,4.322497737,240,7.56651089,-0.427970073,1,1.4,71.478,3,7,0.2336611981,196,2020
91,USD_JPY,2020-11-23 08:00:00,2020-11-23 12:00:00,103.795,103.4473496,2020-12-16 04:00:00,103.4443496,stoploss,-1.008629358,101,2.775776845,-3.463249038,0.6,0.6,103.651,4,4,0.1738252125,7,2020
92,EUR_NZD,2020-11-23 16:00:00,2020-11-23 20:00:00,1.71153,1.702458326,2020-11-24 00:00:00,1.702268326,stoploss,-1.020944315,2,2.554104157,-3.358806804,3.8,3.8,1.70549,4,4,0.004535836947,0,2020
93,AUD_JPY,2020-11-24 16:00:00,2020-11-24 20:00:00,76.8395,76.31536182,2021-01-21 20:00:00,80.229,time_exit,6.466806182,240,7.792792403,-0.7374009704,0.9,0.8,75.394,2,16,0.2620690883,183,2020
94,AUD_NZD,2020-11-24 16:00:00,2020-11-24 20:00:00,1.054005,1.049506902,2020-11-25 16:00:00,1.049401902,stoploss,-1.023343198,6,6.706167293,-2.740046805,2.1,2.1,1.04713,2,4,0.002249049172,1,2020
95,EUR_GBP,2020-11-25 00:00:00,2020-11-25 04:00:00,0.89073,0.8868059586,2021-01-15 08:00:00,0.8867659586,stoploss,-1.010193572,212,8.216019284,-1.982649815,0.8,0.8,0.88664,4,4,0.001962020711,74,2020
