trade_id,local_peaks_count,monotonicity_ratio_in_profit
GBP_NZD_2021-11-18 08:00:00,1,0.5
GBP_NZD_2021-11-18 20:00:00,1,0.3333333333333333
GBP_NZD_2022-04-12 12:00:00,1,1.0
GBP_NZD_2024-09-17 16:00:00,3,1.0
GBP_USD_2010-06-22 20:00:00,7,0.5625
GBP_USD_2010-08-18 12:00:00,2,1.0
GBP_USD_2012-01-05 08:00:00,0,
GBP_USD_2013-03-26 08:00:00,0,
GBP_USD_2013-07-24 16:00:00,4,0.6
GBP_USD_2016-02-05 12:00:00,1,0.75
GBP_USD_2016-02-12 12:00:00,3,1.0
GBP_USD_2016-04-13 08:00:00,0,0.0
GBP_USD_2018-02-19 04:00:00,0,0.0
GBP_USD_2018-03-16 12:00:00,3,0.5454545454545454
GBP_USD_2019-06-25 16:00:00,2,0.875
GBP_USD_2020-01-24 08:00:00,0,0.0
GBP_USD_2020-04-02 16:00:00,0,0.0
GBP_USD_2020-12-22 00:00:00,1,1.0
GBP_USD_2021-04-28 00:00:00,5,0.45454545454545453
GBP_USD_2022-02-04 12:00:00,0,0.25
GBP_USD_2023-03-15 12:00:00,18,0.6097560975609756
GBP_USD_2025-01-29 08:00:00,6,0.5555555555555556
GBP_USD_2025-02-07 12:00:00,0,
NZD_CAD_2010-04-13 12:00:00,0,
NZD_CAD_2010-08-10 20:00:00,4,0.75
NZD_CAD_2010-08-25 12:00:00,2,0.6666666666666666
NZD_CAD_2010-09-14 20:00:00,1,0.6666666666666666
NZD_CAD_2011-10-31 16:00:00,2,0.625
NZD_CAD_2013-04-19 12:00:00,8,0.6111111111111112
NZD_CAD_2014-12-02 08:00:00,0,0.5
NZD_CAD_2015-08-25 20:00:00,1,0.5
NZD_CAD_2016-05-06 04:00:00,3,0.5
NZD_CAD_2016-05-06 20:00:00,1,0.0
NZD_CAD_2016-09-12 04:00:00,11,0.5675675675675675
NZD_CAD_2016-10-27 12:00:00,19,0.6274509803921569
NZD_CAD_2017-06-23 20:00:00,3,1.0
NZD_CAD_2017-11-30 20:00:00,1,1.0
NZD_CAD_2018-01-02 16:00:00,7,0.6666666666666666
NZD_CAD_2018-01-03 20:00:00,4,0.7777777777777778
NZD_CAD_2019-01-04 20:00:00,2,1.0
NZD_CAD_2019-02-27 08:00:00,0,
NZD_CAD_2020-03-13 04:00:00,2,
NZD_CAD_2020-12-22 08:00:00,18,0.575
NZD_CAD_2021-01-27 20:00:00,6,0.6666666666666666
NZD_CAD_2021-02-02 08:00:00,5,0.5833333333333334
NZD_CAD_2021-10-22 12:00:00,12,0.5
NZD_CAD_2021-10-27 08:00:00,1,0.5238095238095238
NZD_CAD_2022-06-21 12:00:00,0,
NZD_CAD_2022-08-08 16:00:00,15,0.6206896551724138
NZD_CAD_2023-03-15 16:00:00,5,0.7
NZD_CHF_2010-03-19 04:00:00,1,0.0
NZD_CHF_2011-11-01 08:00:00,0,0.0
NZD_CHF_2013-05-07 04:00:00,0,0.0
NZD_CHF_2013-07-18 00:00:00,7,0.46808510638297873
NZD_CHF_2014-12-12 12:00:00,0,
NZD_CHF_2015-12-23 20:00:00,11,0.375
NZD_CHF_2019-02-28 04:00:00,0,
NZD_CHF_2019-05-01 08:00:00,0,
NZD_CHF_2020-07-07 08:00:00,1,0.5
NZD_CHF_2021-04-05 16:00:00,2,1.0
NZD_CHF_2022-01-13 20:00:00,1,
NZD_CHF_2025-01-16 04:00:00,11,0.6111111111111112
NZD_CHF_2025-03-20 00:00:00,0,
NZD_CHF_2025-08-13 20:00:00,1,0.0
NZD_JPY_2010-06-15 04:00:00,12,0.41935483870967744
NZD_JPY_2012-04-04 00:00:00,0,
NZD_JPY_2012-07-19 00:00:00,3,0.625
NZD_JPY_2013-05-13 08:00:00,2,1.0
NZD_JPY_2013-05-14 08:00:00,4,0.875
NZD_JPY_2015-01-12 04:00:00,0,
NZD_JPY_2015-09-21 00:00:00,1,
NZD_JPY_2016-07-05 04:00:00,0,
NZD_JPY_2018-02-02 20:00:00,1,1.0
NZD_JPY_2020-09-11 12:00:00,4,0.5
NZD_JPY_2021-01-28 20:00:00,3,0.38461538461538464
NZD_JPY_2021-07-27 08:00:00,0,0.0
NZD_JPY_2021-08-09 20:00:00,9,0.625
NZD_JPY_2024-01-09 00:00:00,11,0.5217391304347826
NZD_USD_2011-05-11 12:00:00,1,0.4
NZD_USD_2013-04-26 16:00:00,2,1.0
NZD_USD_2013-12-11 08:00:00,4,1.0
NZD_USD_2014-11-18 20:00:00,0,
NZD_USD_2018-03-14 20:00:00,1,0.0
