trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
431,0.5630252101,33,0.201524899,0.775
432,0,0,0,0
433,0.4833333333,23,0.1782611975,0.9666666667
434,0,1,0,0.1666666667
435,0.6134453782,35,0.211051494,0.9583333333
436,0.5454545455,24,0.166348,0.8666666667
437,0.5,2,0.0825999927,0.1153846154
438,0.4615384615,2,0.09520713008,0.09782608696
439,0.5,3,0.2662006128,0.2045454545
440,1,3,0.1751668566,0.25
441,0.3888888889,4,0.4442573385,0.34
442,0.5,2,0,0.1940298507
443,0.4761904762,19,0.1597798458,0.523364486
444,0,2,0,0.4137931034
445,0.462962963,8,0.2185361764,0.21875
446,0.610619469,32,0.337411522,0.9833333333
447,0.5,1,0,0.07692307692
448,0.5607476636,24,0.319951305,1
449,0.3333333333,3,0.1617300479,0.3333333333
450,0,0,0,0
451,0.5089285714,16,0.267284841,0.6666666667
452,0.4597701149,11,0.4687504212,0.2522522523
453,0.3888888889,3,0.6620464916,0.1219512195
454,0.5338983051,21,0.389683798,0.8166666667
455,0.5052631579,4,0.2511120018,0.05
456,0.5666666667,11,0.1869232259,1
457,0.54,20,0.3723101348,1
458,0.5714285714,7,0.2646488557,0.6111111111
459,0.5523809524,23,0.1282004495,0.675
460,0.7142857143,4,0.0704122319,0.4
461,0.5454545455,3,0.6840885168,0.2325581395
462,0.3571428571,4,0.6383771538,0.2321428571
463,0.6,3,0.3597605579,0.2881355932
464,0.5,3,0.2765766548,0.2068965517
465,0.2857142857,1,0,0.04166666667
466,0.5,10,0.2516980078,0.8585858586
467,0.5299145299,20,0.110049246,0.45
468,0.5168539326,9,0.2732151599,0.4369747899
469,0,0,0,0
470,0,0,0,0
471,0.5444444444,11,0.2400142148,0.2416666667
472,0.5360824742,11,0.1820160436,0.1833333333
473,0.5196078431,12,0.567093615,0.7083333333
474,0,0,0,0
475,0.5882352941,2,0,0.06451612903
476,0.5051546392,2,0,0.01666666667
477,0,1,0,0.125
478,0.4583333333,2,0.1294057896,0.1083333333
479,0.52,12,0.2986031907,0.6727272727
480,0.625,3,0.1305688698,0.9916666667
481,0.5666666667,9,0.1402988364,0.9833333333
482,0.5048543689,14,0.2281577752,1
483,0.5803571429,19,0.242347343,0.875
484,0.4479166667,17,0.2349400888,0.6833333333
485,0.5416666667,5,0.1726480706,0.2105263158
486,0.5360824742,14,0.3790815608,0.9416666667
