trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,mfe_lock_active_at_exit,final_r,mfe_r,mae_r,spread_pips_used,spread_pips_exit,fold,classifier_prob
1075,NZD_USD,2023-03-13 12:00:00,2023-03-13 16:00:00,2023-03-16 00:00:00,stoploss,15,0,-1.00779338,0.6255958898,-1.141375967,1.1,1.1,4,0.4614228337
1078,AUD_CAD,2023-03-14 20:00:00,2023-03-15 00:00:00,2023-03-21 08:00:00,trail_stop,27,1,-0.01352646487,1.035842441,-0.7809753665,1.9,1.9,4,0.7449148619
1081,AUD_USD,2023-03-16 00:00:00,2023-03-16 04:00:00,2023-03-21 16:00:00,trail_stop,22,1,0.4231482936,1.324079653,-0.2456064849,1,1,4,0.8678239218
1092,CHF_JPY,2023-03-21 08:00:00,2023-03-21 12:00:00,2023-04-06 00:00:00,trail_stop,70,1,0.9480011462,1.82174212,-0.9566129161,2.2,2.2,4,0.4150030599
1097,AUD_CHF,2023-03-23 04:00:00,2023-03-23 08:00:00,2023-03-24 00:00:00,stoploss,5,0,-1.011859017,0.1761911139,-1.04359352,1.4,1.4,4,0.7505029535
1100,AUD_JPY,2023-03-27 08:00:00,2023-03-27 12:00:00,2023-03-31 08:00:00,trail_stop,24,1,1.391061365,2.281849643,-0.01664270388,0.9,0.9,4,0.5302119788
1119,AUD_NZD,2023-04-12 04:00:00,2023-04-12 08:00:00,2023-04-13 16:00:00,trail_stop,9,1,-0.0209661269,1.035327314,-0.3045080335,2.1,2.1,4,0.4211701869
1130,NZD_CAD,2023-04-19 00:00:00,2023-04-19 04:00:00,2023-04-26 12:00:00,trail_stop,33,1,0.3513823162,1.3625034,-0.6858238592,2.3,2.3,4,0.9328142893
1169,GBP_NZD,2023-05-24 16:00:00,2023-05-24 20:00:00,2023-06-02 04:00:00,trail_stop,39,1,2.252412185,3.183329372,-0.3787741845,4.8,4.8,4,0.6669508886
1177,GBP_USD,2023-05-29 16:00:00,2023-05-29 20:00:00,2023-05-31 08:00:00,trail_stop,10,1,0.2547793395,1.377777711,-0.5231561744,0.9,0.9,4,0.9819135819
1181,AUD_CHF,2023-05-31 16:00:00,2023-05-31 20:00:00,2023-06-08 12:00:00,trail_stop,35,1,3.211489626,4.153135481,-0.2110530297,1.4,1.4,4,0.8767579587
1182,AUD_USD,2023-06-01 12:00:00,2023-06-01 16:00:00,2023-06-05 04:00:00,trail_stop,10,1,1.130702073,2.077277968,-0.1417614628,1,1,4,0.6618097498
1187,EUR_USD,2023-06-07 00:00:00,2023-06-07 04:00:00,2023-06-09 16:00:00,trail_stop,16,1,0.9666368257,1.771051749,-0.6663261363,0.7,0.7,4,0.6307359411
1198,GBP_AUD,2023-06-13 16:00:00,2023-06-13 20:00:00,2023-06-22 00:00:00,trail_stop,38,1,1.378163891,2.632510815,-0.6286324148,4,4,4,0.5434486081
1206,EUR_AUD,2023-06-22 16:00:00,2023-06-22 20:00:00,2023-06-23 08:00:00,trail_stop,4,1,0.2191653943,1.013779276,-0.35311413,2.4,2.4,4,0.4054194676
1208,EUR_CAD,2023-06-27 08:00:00,2023-06-27 12:00:00,2023-06-28 16:00:00,trail_stop,8,1,1.158226072,2.151402193,-0.08998260122,3.7,3.7,4,0.9890937093
1211,NZD_USD,2023-06-30 04:00:00,2023-06-30 08:00:00,2023-07-06 04:00:00,trail_stop,24,1,1.431093609,2.450701014,-0.3019199024,1.1,1.1,4,0.9959874828
1216,EUR_GBP,2023-07-12 08:00:00,2023-07-12 12:00:00,2023-07-13 08:00:00,trail_stop,6,1,0.7862372999,1.607045833,-0.07696579659,0.8,0.8,4,0.8823412729
1224,GBP_JPY,2023-07-21 20:00:00,2023-07-24 00:00:00,2023-07-27 20:00:00,stoploss,24,0,-1.008216426,0.263610349,-3.107863309,2,2.4,4,0.7486122
1232,AUD_CHF,2023-07-31 00:00:00,2023-07-31 04:00:00,2023-08-01 04:00:00,trail_stop,7,1,0.2967290426,1.119496302,-0.1138154574,1.4,1.4,4,0.5158819091
1233,AUD_JPY,2023-07-31 00:00:00,2023-07-31 04:00:00,2023-08-01 08:00:00,trail_stop,8,1,0.6076563812,1.488291341,-0.05012277919,0.9,0.9,4,0.4247779499
1240,GBP_CHF,2023-08-04 00:00:00,2023-08-04 04:00:00,2023-08-23 08:00:00,trail_stop,80,1,0.816648239,1.663788697,-0.4402322888,1.9,1.9,4,0.9835182926
1252,AUD_CHF,2023-08-18 16:00:00,2023-08-18 20:00:00,2023-09-04 00:00:00,trail_stop,62,1,0.9236238158,1.798875663,-0.7407135081,1.4,1.4,4,0.9100096889
1256,AUD_CAD,2023-08-21 16:00:00,2023-08-21 20:00:00,2023-08-24 12:00:00,trail_stop,17,1,0.6745181917,1.621228492,-0.2265431417,1.9,1.9,4,0.9231912419
1262,CAD_JPY,2023-08-24 04:00:00,2023-08-24 08:00:00,2023-08-29 20:00:00,trail_stop,22,1,-0.009213821517,1.038090558,-0.4130863314,1.2,1.2,4,0.7179150713
1288,NZD_CAD,2023-09-21 08:00:00,2023-09-21 12:00:00,2023-09-27 04:00:00,trail_stop,23,1,0.6581659223,1.466607591,-0.3163271275,2.3,2.3,4,0.9128435221
1295,CHF_JPY,2023-10-04 08:00:00,2023-10-04 12:00:00,2023-10-13 00:00:00,trail_stop,40,1,2.146507963,3.091287629,-0.1360099392,2.2,2.2,5,0.4151024803
1297,EUR_USD,2023-10-04 08:00:00,2023-10-04 12:00:00,2023-10-06 12:00:00,trail_stop,13,1,0.3882663647,1.516148624,-0.0729894828,0.7,0.7,5,0.9009168763
1299,GBP_JPY,2023-10-04 08:00:00,2023-10-04 12:00:00,2023-10-09 08:00:00,trail_stop,18,1,0.8674020197,1.880173216,-0.1487526601,2.4,2.4,5,0.742384032
1302,AUD_USD,2023-10-05 00:00:00,2023-10-05 04:00:00,2023-10-09 00:00:00,trail_stop,12,1,-0.009412081448,1.048505873,-0.6080204615,1,1,5,0.7338136277
1303,GBP_USD,2023-10-05 04:00:00,2023-10-05 08:00:00,2023-10-09 08:00:00,trail_stop,13,1,0.3264219355,1.468547069,-0.7080619615,0.9,0.9,5,0.949987385
1315,AUD_USD,2023-10-19 12:00:00,2023-10-19 16:00:00,2023-10-25 08:00:00,trail_stop,23,1,0.6820971143,1.603063764,-0.6275481737,1,1,5,0.5524418613
1328,CAD_JPY,2023-10-31 00:00:00,2023-10-31 04:00:00,2023-11-01 16:00:00,trail_stop,10,1,1.093010358,2.006295936,-0.2721426288,1.2,1.2,5,0.9833075049
1333,NZD_USD,2023-11-15 04:00:00,2023-11-15 08:00:00,2023-11-16 04:00:00,stoploss,6,0,-1.011470084,0.6225127199,-1.125110929,1.1,1.1,5,0.5616476017
1355,CAD_JPY,2023-12-08 20:00:00,2023-12-11 00:00:00,2023-12-12 12:00:00,trail_stop,10,1,0.2853940911,1.166154743,-0.004934364215,1.2,1.2,5,0.9272254535
1356,EUR_JPY,2023-12-08 20:00:00,2023-12-11 00:00:00,2023-12-13 20:00:00,trail_stop,18,1,0.2055350939,1.09077461,-0.2923299577,1.4,1.4,5,0.9967604336
1362,CHF_JPY,2023-12-11 08:00:00,2023-12-11 12:00:00,2023-12-13 20:00:00,stoploss,15,0,-1.006186486,0.2041540326,-1.371712633,2.2,2.2,5,0.5259861722
1366,CAD_JPY,2023-12-14 12:00:00,2023-12-14 16:00:00,2023-12-21 00:00:00,trail_stop,27,1,1.517572775,2.442285883,-0.2098406115,1.2,1.2,5,0.937040084
1367,EUR_JPY,2023-12-14 12:00:00,2023-12-14 16:00:00,2023-12-20 08:00:00,trail_stop,23,1,1.217717274,2.241857452,-0.5800941534,1.4,1.4,5,0.5028026474
1369,GBP_JPY,2023-12-15 00:00:00,2023-12-15 04:00:00,2023-12-15 16:00:00,stoploss,4,0,-1.006912488,0.03341035764,-1.012679461,2.4,2.4,5,0.8181745078
1375,CHF_JPY,2023-12-18 08:00:00,2023-12-18 12:00:00,2023-12-19 08:00:00,trail_stop,6,1,0.4033131124,2.107332568,-0.09209237579,2.2,2.2,5,0.7811795603
1379,EUR_NZD,2023-12-21 04:00:00,2023-12-21 08:00:00,2023-12-29 04:00:00,stoploss,32,0,-1.017023841,0.5895624969,-1.028598399,3.8,3.8,5,0.7668340496
1384,GBP_JPY,2023-12-26 08:00:00,2023-12-26 12:00:00,2023-12-28 00:00:00,trail_stop,10,1,-0.009636663875,1.072881911,-0.176672171,2.4,2.4,5,0.4078260994
1386,NZD_JPY,2023-12-26 16:00:00,2023-12-26 20:00:00,2023-12-28 08:00:00,stoploss,10,0,-1.011405088,0.6435728164,-1.608117392,1.4,1.4,5,0.5486524594
1391,CAD_CHF,2024-01-02 00:00:00,2024-01-02 04:00:00,2024-01-24 12:00:00,trail_stop,99,1,0.8449434025,1.779222938,-0.6220440213,1.5,1.5,5,0.9194843201
1392,EUR_CHF,2024-01-02 00:00:00,2024-01-02 04:00:00,2024-01-15 00:00:00,trail_stop,54,1,0.3471771634,1.190587629,-0.5003001207,1,1,5,0.8867808298
1395,USD_CHF,2024-01-02 00:00:00,2024-01-02 04:00:00,2024-01-05 16:00:00,trail_stop,22,1,0.6040537502,1.984844644,-0.01783387866,0.9,0.9,5,0.956667913
1396,USD_JPY,2024-01-02 00:00:00,2024-01-02 04:00:00,2024-01-05 16:00:00,trail_stop,22,1,3.000105305,4.229715687,-0.1399641194,0.6,0.6,5,0.7639410202
1408,AUD_CHF,2024-01-18 00:00:00,2024-01-18 04:00:00,2024-01-22 20:00:00,trail_stop,17,1,0.9646496461,1.933024837,-0.1455834605,1.4,1.4,5,0.6954535283
1410,AUD_USD,2024-01-18 20:00:00,2024-01-19 00:00:00,2024-01-25 00:00:00,trail_stop,25,1,-0.0102023805,1.030440431,-0.3876904592,1,1,5,0.8646877652
1433,AUD_USD,2024-02-15 08:00:00,2024-02-15 12:00:00,2024-02-21 16:00:00,trail_stop,26,1,1.325422867,2.257429847,-0.02716522078,1,1,5,0.929714015
1453,GBP_CAD,2024-03-06 08:00:00,2024-03-06 12:00:00,2024-03-06 16:00:00,stoploss,2,0,-1.045828893,0,-1.663941346,5.2,5.2,5,0.5640787566
1457,USD_CHF,2024-03-11 16:00:00,2024-03-11 20:00:00,2024-03-20 20:00:00,trail_stop,43,1,2.167248275,3.192884466,-0.876594068,0.9,0.9,5,0.9665046605
1475,NZD_CAD,2024-04-02 12:00:00,2024-04-02 16:00:00,2024-04-05 12:00:00,trail_stop,18,1,2.08683012,3.084757604,-0.1602252446,2.3,2.3,5,0.9651615495
