trade_id,pair,entry_date,body_to_range_ratio,upper_wick_ratio,lower_wick_ratio,range_to_atr_14,ret_5bar_atr,ret_20bar_atr,pos_in_20bar_range,rsi_14,atr_7,atr_28,ret_50bar_atr,ret_100bar_atr,body_to_range_mean_5,upper_wick_mean_5,bars_since_high20,bars_since_low20,rsi_7,rsi_28,cci_14,bb_pos_20,realized_vol_20,realized_vol_60,dist_to_swing_high_20,dist_to_swing_low_20
CHF_JPY_2024-02-12 08:00:00,CHF_JPY,2024-02-12 04:00:00,0.051020408163212,0.3775510204081751,0.5714285714286128,0.28404135525443,-0.0289838117606258,1.568024216251276,0.7734330074755581,52.36776194813304,0.2958619153068739,0.3927282078817619,-1.782504423280138,0.0260854305845468,0.41010969150022036,0.2994585780458687,7.0,13.0,52.50484410713854,50.74313634522059,9.94310378653564,0.537825245269865,0.0014093502365754103,0.001506870067529531,1.1419621833697133,3.8983226818077203
CHF_JPY_2025-03-26 08:00:00,CHF_JPY,2025-03-26 04:00:00,0.7253012048192803,0.0433734939759031,0.2313253012048166,0.8547206976115586,-0.1256336447091186,3.264415194492193,0.7655775075987884,58.46107457234387,0.4440970419972221,0.5319074450533958,5.667930987534702,5.2827917816230405,0.5442762063926466,0.1430166010979566,7.0,19.0,59.8741880801248,57.12756267395931,23.96835860250307,0.8263257780669975,0.0016112208037051792,0.00212795675688595,1.2707534227139692,4.1500294112945015
EUR_AUD_2010-09-27 16:00:00,EUR_AUD,2010-09-27 12:00:00,0.108635097493068,0.6573816155988661,0.2339832869080657,0.7428681251090076,-0.7428681251090076,2.400353830435768,0.6162734713529104,54.7943311002787,0.004597832912888612,0.004943919376606371,3.4887901363058043,-1.2332852439135604,0.34947369307847864,0.3694014590651098,12.0,19.0,46.657132661378355,55.106105555002465,-54.94228751312441,-0.36773157143538104,0.0021921110874770964,0.0020073734353976127,1.6492086231528815,2.648666295653283
EUR_AUD_2011-02-24 12:00:00,EUR_AUD,2011-02-24 08:00:00,0.2263157894736938,0.6333333333333346,0.1403508771929715,1.1802431004344736,-0.8737940147076332,3.905155241086842,0.6861665519614594,63.08963586967315,0.004949103904496705,0.004742141850376596,4.772737450002721,0.8655116069853235,0.3689804529894181,0.4936951583772882,4.0,19.0,60.99743643898281,59.77141489136601,57.66572676507718,0.854172463209708,0.0020398967321983087,0.0019582878040883844,1.888388960695222,4.128780249590218
EUR_AUD_2012-02-13 16:00:00,EUR_AUD,2012-02-13 12:00:00,0.1136363636363521,0.3352272727273272,0.5511363636363207,0.5304352711273569,-0.8981233567951867,2.157907125722693,0.4885577434805708,52.1409689378422,0.002943808918910381,0.0035557678862957365,0.2411069414215015,-3.640714815465101,0.3484326171694744,0.27592034447297,7.0,18.0,44.381752717040094,51.64588463402873,-43.312380773678385,0.022184336866081813,0.0016868932491847306,0.0022455308181530986,2.8962971338261414,2.7667021528120244
EUR_AUD_2012-08-21 00:00:00,EUR_AUD,2012-08-20 20:00:00,0.6146341463414502,0.1024390243902597,0.28292682926829,0.6623196333880559,0.1130789617979782,4.174229104084518,0.8339243498817984,61.2878418129886,0.003019163322313221,0.0031229553195484152,4.3228471681617995,1.0758655508205597,0.430897632477243,0.22808627909384968,8.0,19.0,63.35019182987404,57.89140001088146,49.84181041928848,0.9683611276953805,0.001749062399368702,0.0019620845407857497,0.9078625218635736,4.558697574197573
EUR_AUD_2013-07-29 12:00:00,EUR_AUD,2013-07-29 08:00:00,0.77656675749318,0.1307901907357024,0.0926430517711175,0.7094052904980434,0.6726785860853127,2.0257676960270845,0.6065651760228361,56.7625685892781,0.004853441510562763,0.005526199871668282,2.499348884506666,5.377562719797057,0.45396370897925165,0.2508835143690983,12.0,19.0,60.77707177801634,55.167391597791216,15.318103531188102,0.33135475455953983,0.002206944792219816,0.002263255823895386,1.5985781341740377,2.464555164536765
EUR_AUD_2015-05-05 04:00:00,EUR_AUD,2015-05-05 00:00:00,0.0496183206107565,0.2824427480915817,0.6679389312976617,0.3850493989750446,-1.2198129814857936,5.702258274897488,0.7538178472861101,60.975633391927474,0.006272850253907595,0.006698883143370475,6.059384244175849,5.930054675054465,0.4258115182481913,0.17531441781666385,8.0,19.0,52.280815819664994,60.290960731486194,-60.33136648197051,0.2860313456121999,0.004398122991461615,0.0035979554844413667,1.9663973123228802,6.021173235117269
EUR_AUD_2015-08-14 08:00:00,EUR_AUD,2015-08-14 04:00:00,0.0086206896551905,0.26379310344828,0.7275862068965294,0.8168507283449614,-0.0718265295613684,3.929333676004166,0.6501266891891856,58.532433485493904,0.006674606136687331,0.006934799935882947,1.4872316709177023,5.313754824216397,0.16861545338767794,0.41563256968721135,11.0,19.0,55.29447192573396,57.12571123367452,-47.754762152598296,0.21506032478806392,0.004489749044898121,0.0034928164034500812,2.333658029082087,4.336350676851921
EUR_AUD_2017-03-07 12:00:00,EUR_AUD,2017-03-07 08:00:00,0.6258660508083198,0.2655889145496533,0.1085450346420268,1.01810924985561,-0.3620989017961967,4.074788290992613,0.6778880226789511,55.61808857276463,0.00425092518572685,0.004249485826748914,4.178245120077248,1.8481151741028115,0.48584141107673,0.22293563589619264,6.0,19.0,48.691512968835305,55.987670601588945,-96.84735767748249,0.11163438587777046,0.0019486950901607476,0.0018960537348704583,2.1373240372257865,4.498020773611584
