trade_id,pair,fold,sl_bar,partial_bar,replay_realized_r,slhonest_realized_r,delta_r,replay_booked_win
1011,EURCHF,6,26,57,0.860070813221711,-1.0,-1.860070813221711,1
1012,EURUSD,6,5,57,0.6846470320274022,-1.0,-1.684647032027402,1
1025,EURCHF,6,63,185,1.062762748696597,-1.0,-2.062762748696597,1
1028,EURCHF,6,43,168,0.9231719285531284,-1.0,-1.9231719285531284,1
1033,EURCHF,6,15,136,1.144337637049572,-1.0,-2.144337637049572,1
1037,USDJPY,6,42,98,0.7051338895876165,-1.0,-1.7051338895876165,1
1048,AUDJPY,6,3,73,0.60517379275311,-1.0,-1.60517379275311,1
1078,USDCAD,6,2,22,1.0250489645669565,-1.0,-2.0250489645669565,1
1081,GBPJPY,6,9,185,0.6101389873318144,-1.0,-1.6101389873318144,1
1082,CADJPY,6,7,50,0.9089714916173512,-1.0,-1.9089714916173512,1
1087,GBPCHF,6,21,154,0.9967353926816008,-1.0,-1.9967353926816007,1
1095,USDJPY,6,73,112,0.3399701696704526,-1.0,-1.3399701696704527,1
1101,USDCHF,6,26,76,0.2343570911018256,-1.0,-1.2343570911018256,1
1104,USDJPY,6,5,43,1.143543137744822,-1.0,-2.143543137744822,1
1109,AUDUSD,6,23,172,0.7332055518165862,-1.0,-1.733205551816586,1
1110,AUDJPY,6,35,120,1.1431651841689163,-1.0,-2.1431651841689163,1
1111,EURCAD,6,6,178,1.359314690816443,-1.0,-2.359314690816443,1
1113,NZDJPY,6,75,160,0.7115808817671525,-1.0,-1.7115808817671525,1
1119,EURNZD,6,12,71,0.6616837411650744,-1.0,-1.6616837411650744,1
1125,EURCHF,6,41,216,0.2561747190379011,-1.0,-1.2561747190379011,1
1127,EURNZD,6,71,142,0.6632644359769619,-1.0,-1.663264435976962,1
1137,GBPCAD,6,27,85,0.6045644011793236,-1.0,-1.6045644011793236,1
1138,EURAUD,6,22,40,1.5104565488929602,-1.0,-2.51045654889296,1
1149,AUDCAD,7,22,149,0.4956181491189679,-1.0,-1.495618149118968,1
1153,AUDCAD,7,73,119,0.6058152151143434,-1.0,-1.6058152151143434,1
1166,GBPJPY,7,58,153,0.3816127165243116,-1.0,-1.3816127165243115,1
1169,AUDCHF,7,49,91,0.947028097188462,-1.0,-1.9470280971884621,1
1170,CADCHF,7,48,79,0.9187233697637288,-1.0,-1.918723369763729,1
1171,GBPCAD,7,18,230,0.1969994004147007,-1.0,-1.1969994004147007,1
1173,AUDCHF,7,11,59,0.8172907239453304,-1.0,-1.8172907239453304,1
1176,NZDJPY,7,8,57,0.681822083816977,-1.0,-1.6818220838169768,1
1180,GBPAUD,7,6,56,3.167934872446717,-1.0,-4.1679348724467165,1
1181,GBPNZD,7,20,39,0.9959359657986504,-1.0,-1.9959359657986504,1
1182,CHFJPY,7,9,55,0.2903210257696281,-1.0,-1.290321025769628,1
1184,EURAUD,7,7,58,1.7196750550344315,-1.0,-2.7196750550344317,1
1186,NZDUSD,7,46,185,0.8039656766500156,-1.0,-1.8039656766500156,1
1188,USDCHF,7,8,23,1.4466511669187812,-1.0,-2.446651166918781,1
1189,NZDJPY,7,27,172,0.4980207471697345,-1.0,-1.4980207471697344,1
1193,NZDCHF,7,16,115,1.095103430144385,-1.0,-2.095103430144385,1
1202,GBPUSD,7,44,81,0.7018797072845847,-1.0,-1.7018797072845846,1
1211,AUDCHF,7,18,39,1.296609556884091,-1.0,-2.296609556884091,1
1212,NZDJPY,7,8,38,0.8759472987721109,-1.0,-1.8759472987721109,1
1216,AUDNZD,7,27,53,1.4463896359409822,-1.0,-2.4463896359409825,1
1218,NZDCAD,7,11,63,1.0053549877489942,-1.0,-2.0053549877489942,1
1220,NZDUSD,7,16,70,0.5812894780801962,-1.0,-1.5812894780801963,1
1231,AUDCHF,7,10,30,0.9440487098070308,-1.0,-1.944048709807031,1
