config_id,arch,triage_folds,worst_triage_ratio,worst_triage_dd_base,worst_triage_dd_at_040,dropped_dd,f1_roi,f6_roi,f8_roi,f1_dd,f6_dd,f8_dd,f1_n,f6_n,f8_n
A4::A4::cl0::sl2.5::sl_partial_close_1r_runner_trail::expU::et0.5,A4,6+8,-1.0,0.42913135843797723,0.3433050867503818,True,,-0.24457116830344772,-0.42913135843797723,,0.24653964915748558,0.42913135843797723,,1061,1084
A4::A4::cl0::sl2.5::sl_plus_tp_2r::expU::et0.3,A4,6+8,-1.0,0.4327480464383353,0.3461984371506683,True,,-0.25391183712483445,-0.4327480464383353,,0.25584083835206156,0.4327480464383353,,1061,1084
A4::A4::cl0::sl3.5::sl_plus_tp_2r::exp2::et0.4,A4,6+8,-1.0,0.2731420580475902,0.21851364643807214,True,,-0.14147364761441572,-0.2731420580475902,,0.14324988386881754,0.2731420580475902,,946,971
A4::A4::cl0::sl3.5::sl_plus_tp_2r::exp2::et0.3,A4,6+8,-1.0,0.2731420580475902,0.21851364643807214,True,,-0.14660106475096157,-0.2731420580475902,,0.1483689225283862,0.2731420580475902,,941,971
A4::A4::cl0::sl3.5::sl_plus_tp_2r::expU::et0.4,A4,6+8,-1.0,0.3011958901601839,0.24095671212814712,True,,-0.17211562902907662,-0.3011958901601839,,0.17373222673692726,0.3011958901601839,,1061,1084
A4::A4::cl0::sl3.5::sl_plus_tp_2r::expU::et0.5,A4,6+8,-1.0,0.3011958901601839,0.24095671212814712,True,,-0.17211562902907662,-0.3011958901601839,,0.17373222673692726,0.3011958901601839,,1061,1084
A4::A4::cl0::sl3.5::sl_partial_close_1r_runner_trail::expU::et0.5,A4,6+8,-1.0,0.3000493806367488,0.24003950450939904,True,,-0.17658498391609756,-0.3000493806367488,,0.17819285438000057,0.3000493806367488,,1061,1084
A4::A4::cl0::sl3.5::sl_partial_close_1r_runner_trail::expU::et0.4,A4,6+8,-1.0,0.3000493806367488,0.24003950450939904,True,,-0.17658498391609756,-0.3000493806367488,,0.17819285438000057,0.3000493806367488,,1061,1084
A4::A4::cl0::sl2.5::sl_partial_close_1r_runner_trail::exp2::et0.5,A4,6+8,-1.0000000000000002,0.3884784901477249,0.31078279211817994,True,,-0.2027979764722423,-0.38847849014772495,,0.20506609364245834,0.3884784901477249,,946,972
A4::A4::cl0::sl2.5::sl_partial_close_1r_runner_trail::exp2::et0.4,A4,6+8,-1.0000000000000002,0.3884784901477249,0.31078279211817994,True,,-0.2027979764722423,-0.38847849014772495,,0.20506609364245834,0.3884784901477249,,946,972
A4::A4::cl0::sl3.0::sl_plus_tp_2r::exp2::et0.4,A4,6+8,-1.0000000000000002,0.32182214470522646,0.2574577157641812,True,,-0.1660028833829471,-0.3218221447052265,,0.16799937281394897,0.32182214470522646,,946,971
A4::A4::cl0::sl3.0::sl_plus_tp_2r::exp2::et0.3,A4,6+8,-1.0000000000000002,0.32182214470522646,0.2574577157641812,True,,-0.1735195191019715,-0.3218221447052265,,0.1751487938430938,0.32182214470522646,,941,971
A4::A4::cl0::sl2.5::sl_plus_tp_2r::exp2::et0.4,A4,6+8,-1.0000000000000002,0.3886635735947544,0.3109308588758035,True,,-0.19529815708051468,-0.38866357359475445,,0.1975875118607325,0.3886635735947544,,946,972
A4::A4::cl0::sl2.5::sl_plus_tp_2r::exp2::et0.5,A4,6+8,-1.0000000000000002,0.3886635735947544,0.3109308588758035,True,,-0.19529815708051468,-0.38866357359475445,,0.1975875118607325,0.3886635735947544,,946,972
A4::A4::cl0::sl3.5::sl_partial_close_1r_runner_trail::exp2::et0.5,A4,6+8,-1.0000000000000002,0.2719821055554597,0.21758568444436777,True,,-0.14602933583355326,-0.27198210555545976,,0.14779614665965451,0.2719821055554597,,946,971
A4::A4::cl0::sl3.5::sl_partial_close_1r_runner_trail::exp2::et0.4,A4,6+8,-1.0000000000000002,0.2719821055554597,0.21758568444436777,True,,-0.14602933583355326,-0.27198210555545976,,0.14779614665965451,0.2719821055554597,,946,971
A4::A4::cl0::sl3.5::sl_partial_close_1r_runner_trail::exp2::et0.3,A4,6+8,-1.0000000000000002,0.2719821055554597,0.21758568444436777,True,,-0.14806944296086566,-0.27198210555545976,,0.14983425892076346,0.2719821055554597,,939,971
A4::A4::cl0::sl3.0::sl_plus_tp_2r::exp2::et0.5,A4,6+8,-1.0000000000000002,0.32182214470522646,0.2574577157641812,True,,-0.1660028833829471,-0.3218221447052265,,0.16799937281394897,0.32182214470522646,,946,971
