trade_id,pair,signal_bar_time,native_prob,onnx_prob,abs_diff,native_admit,onnx_admit
256,USD_CAD,2021-05-04 00:00:00,0.01106000212,0.01106005907,5.695040097e-08,0,0
257,USD_CHF,2021-05-04 00:00:00,0.002181344776,0.00218129158,5.319597867e-08,0,0
258,AUD_CAD,2021-05-05 00:00:00,0.00332030764,0.003320336342,2.870223642e-08,0,0
259,CHF_JPY,2021-05-05 00:00:00,0.9729670411,0.9729670882,4.70807221e-08,1,1
260,GBP_CHF,2021-05-05 00:00:00,0.0001832760521,0.0001832842827,8.230564963e-09,0,0
261,NZD_CAD,2021-05-05 00:00:00,0.01148497612,0.01148504019,6.407274563e-08,0,0
262,EUR_CHF,2021-05-05 08:00:00,0.00562862438,0.006483793259,0.0008551688789,0,0
263,NZD_CHF,2021-05-05 08:00:00,0.01169450743,0.01418781281,0.002493305378,0,0
264,EUR_NZD,2021-05-07 08:00:00,0.1399401029,0.1980377436,0.0580976407,0,0
265,AUD_JPY,2021-05-10 00:00:00,0.06509627644,0.06509625912,1.731883141e-08,0,0
266,GBP_AUD,2021-05-10 00:00:00,0.9764863437,0.9764862657,7.805956237e-08,1,1
267,GBP_NZD,2021-05-10 00:00:00,0.9948406826,0.9948406816,1.076158496e-09,1,1
268,AUD_CAD,2021-05-10 08:00:00,0.002351996481,0.00252622366,0.0001742271784,0,0
269,AUD_CHF,2021-05-10 08:00:00,0.009702323905,0.01047277451,0.0007704506005,0,0
270,GBP_CAD,2021-05-10 08:00:00,0.04420030289,0.04797977209,0.003779469199,0,0
271,GBP_USD,2021-05-10 08:00:00,0.01809156255,0.01969671249,0.001605149948,0,0
272,GBP_CHF,2021-05-11 08:00:00,0.05158977468,0.07393991947,0.02235014479,0,0
273,USD_CHF,2021-05-11 16:00:00,0.002111386459,0.002111375332,1.112750092e-08,0,0
274,USD_CAD,2021-05-12 00:00:00,0.002396566862,0.002396523952,4.29100135e-08,0,0
275,AUD_NZD,2021-05-12 08:00:00,0.02872619346,0.02872622013,2.667251574e-08,0,0
276,EUR_CHF,2021-05-13 00:00:00,0.08170158134,0.08170163631,5.497122821e-08,0,0
277,EUR_GBP,2021-05-13 08:00:00,0.05527253181,0.06025111675,0.004978584942,0,0
278,GBP_USD,2021-05-14 08:00:00,0.007913717772,0.008062720299,0.0001490025266,0,0
279,GBP_CHF,2021-05-17 08:00:00,0.01060317283,0.01287525892,0.002272086091,0,0
