pair,bar_time,swing_low_N,low,close,sweep_atr,reclaim_ratio,fired_signal
USD_JPY,2024-09-30 08:00:00,141.987,141.642,142.536,0.3921932404,1.591304348,1
GBP_AUD,2024-10-01 20:00:00,1.92702,1.92557,1.92911,0.2612819329,1.44137931,1
NZD_USD,2024-10-01 20:00:00,0.62714,0.62646,0.62795,0.252544236,1.191176471,1
EUR_CAD,2024-10-02 00:00:00,1.49192,1.49061,1.4924,0.3132942242,0.3664122137,0
NZD_CAD,2024-10-02 00:00:00,0.84664,0.84537,0.84815,0.3958106903,1.188976378,1
NZD_CHF,2024-10-02 00:00:00,0.53014,0.52906,0.53204,0.4573602313,1.759259259,1
EUR_USD,2024-10-03 08:00:00,1.10319,1.10247,1.10377,0.2698944056,0.8055555556,1
AUD_USD,2024-10-04 16:00:00,0.6792,0.67853,0.67959,0.2669202362,0.5820895522,1
AUD_CAD,2024-10-07 00:00:00,0.92171,0.9205,0.92351,0.4664878349,1.487603306,1
EUR_CAD,2024-10-07 00:00:00,1.48735,1.48599,1.48978,0.3789966754,1.786764706,1
NZD_USD,2024-10-07 12:00:00,0.61409,0.61342,0.61444,0.3157260333,0.5223880597,1
AUD_JPY,2024-10-08 00:00:00,99.839,99.65,100.05,0.3719703805,1.116402116,1
NZD_CAD,2024-10-08 00:00:00,0.83282,0.83194,0.83623,0.3262545638,3.875,1
AUD_NZD,2024-10-09 00:00:00,1.09824,1.09723,1.09837,0.4568012585,0.1287128713,0
AUD_USD,2024-10-10 12:00:00,0.67077,0.6698,0.6733,0.3961566546,2.608247423,1
EUR_USD,2024-10-10 12:00:00,1.09283,1.09078,1.09449,0.9917231243,0.8097560976,1
GBP_USD,2024-10-10 12:00:00,1.30554,1.3012,1.30776,1.366575331,0.5115207373,1
CAD_JPY,2024-10-10 16:00:00,107.958,107.819,108.208,0.3115281532,1.798561151,1
EUR_CHF,2024-10-10 20:00:00,0.93548,0.93444,0.93585,0.4521901288,0.3557692308,0
CAD_CHF,2024-10-11 00:00:00,0.6223,0.62179,0.62294,0.2738984553,1.254901961,1
AUD_NZD,2024-10-16 00:00:00,1.10042,1.09983,1.1041,0.253879277,6.237288136,1
EUR_NZD,2024-10-16 00:00:00,1.78748,1.78482,1.79925,0.4855583431,4.42481203,1
EUR_GBP,2024-10-16 08:00:00,0.83244,0.83181,0.83691,0.4221461812,7.095238095,1
AUD_CAD,2024-10-17 00:00:00,0.91626,0.91551,0.92042,0.2708923839,5.546666667,1
