trade_id,pair,fold,segment,cluster,archetype,realized_r_3p5,outcome,terminal_mae_r_dep,terminal_mae_r_held,bars_to_mae_trough,dip_first1_r,dip_first2_r,dip_first3_r,dep_exit_offset,terminal_mfe_r_dep,terminal_mfe_r_held,terminal_mfe_r_full,exit_reason_deployed,partial_fired,partial_contrib_r,runner_contrib_r,runner_exit_r,runner_peak_mfe_r,give_back_r,gap_open_r
2694,EURAUD,12,holdout,1,monotonic_down,0.8352964590196803,win,-1.7964507529127631,-1.135086177782242,11,-0.46141714543990886,-0.6236821749196203,-0.8697713191542543,62,3.015361045449928,0.3076114302932839,3.015361045449928,partial_then_trail,True,0.5,0.3352964590196803,0.6705929180393606,1.7230634545428158,1.0524705365034552,0.026146971574929647
2695,EURNZD,12,holdout,1,monotonic_down,0.5322399711275291,win,-1.3598359250576055,-1.1140061452101913,8,-0.029361402276870837,-0.035694253748340246,-0.05181423931210846,77,1.9919696446652162,0.33679255552864107,2.240677993363296,partial_then_trail,True,0.5,0.032239971127529125,0.06447994225505825,1.1382683683801236,1.0737884261250654,0.015544271793629981
2696,EURGBP,12,holdout,1,monotonic_down,1.3307742163625702,win,-0.9348720331590434,-1.3285023629101813,17,-0.3209961617613328,-0.3209961617613328,-0.3209961617613328,44,4.878204443701895,4.878204443701895,4.878204443701895,partial_then_trail,True,0.5,0.8307742163625702,1.6615484327251404,2.787545396401083,1.1259969636759424,0.011715188385475925
2697,EURCHF,12,holdout,0,v_shape_recovery,0.7394894895708389,win,-3.7104285738771483,-0.9844941898147249,26,-0.010448641165477529,-0.740692562620043,-0.740692562620043,84,2.610999331242119,0.36454148066254255,4.771546132238812,partial_then_trail,True,0.5,0.23948948957083893,0.47897897914167786,1.4919996178526393,1.0130206387109615,0.010448641165477529
2698,AUDCHF,12,holdout,0,v_shape_recovery,1.2108639088646278,win,-4.5536016745447885,-1.098877125786541,24,-0.24232313976661757,-0.24232313976661757,-0.24232313976661757,205,4.729836685284147,0.3874578544931462,4.729836685284147,partial_then_trail,True,0.5,0.7108639088646277,1.4217278177292554,2.7027638201623696,1.2810360024331142,0.02202937634241978
2699,CADCHF,12,holdout,1,monotonic_down,0.4807517245623821,win,-3.4419416168904444,-1.024314475845076,24,-0.21282468182730047,-0.22966692283522464,-0.22966692283522464,87,1.8878621057054676,0.45014716875701444,2.0271933722254936,partial_then_trail,True,0.5,-0.01924827543761792,-0.03849655087523584,1.07877834611741,1.1172748969926458,0.029091143559113946
2700,CADJPY,12,holdout,1,monotonic_down,1.8756154704764822,win,-0.3027901844297625,-0.3027901844297625,24,-0.10350974355905945,-0.10350974355905945,-0.10350974355905945,63,11.45378844616142,11.45378844616142,11.45378844616142,partial_then_trail,True,0.5,1.3756154704764822,2.7512309409529645,6.545021969235097,3.7937910282821323,0.005804284685554992
2701,EURJPY,12,holdout,0,v_shape_recovery,1.758283736760879,win,-0.24176316543340734,-0.24176316543340734,24,-0.04407141036545892,-0.04407141036545892,-0.04407141036545892,63,10.551954824645186,10.551954824645186,10.551954824645186,partial_then_trail,True,0.5,1.258283736760879,2.516567473521758,6.02968847122582,3.5131209977040623,-0.0006295915766345865
2702,GBPCHF,12,holdout,0,v_shape_recovery,0.63003779818327,win,-3.851324145609309,-1.222558090912153,24,-0.16856751616354337,-0.16856751616354337,-0.16856751616354337,82,2.229527200625687,0.47997382233922953,5.180345930940465,partial_then_trail,True,0.5,0.13003779818327,0.26007559636654,1.2740155432146782,1.0139399468481383,0.02040554143033425
2703,NZDCHF,12,holdout,0,v_shape_recovery,1.7122557946806287,win,-2.8072801446487445,-2.8072801446487445,11,-0.32888637677891486,-0.4006671336155935,-0.4006671336155935,192,6.281468775543711,0.26754645730033705,6.281468775543711,partial_then_trail,True,0.5,1.2122557946806287,2.4245115893612574,3.5894107288821204,1.164899139520863,0.024796988725384366
