trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative,bars_held,final_r,mfe_r,mae_r,exit_reason
522,0.4532374101,13,1.315506799,0.3733333333,150,-1.013057139,5.940998446,-3.40464911,stoploss
523,0,1,0,1,1,-1.017169779,0.2869805971,-7.571872676,stoploss
524,0,0,0,0,0,-1.005531784,3.670031178,-3.100872097,stoploss
525,0,0,0,0,0,-1.010741272,3.536026768,-3.359869906,stoploss
526,0,0,0,0,0,-1.006957184,3.362638783,-2.133536331,stoploss
527,0.5,2,0.7532060307,0.7,10,-1.008408999,3.804471291,-1.272161382,stoploss
528,0,0,0,0,3,-1.010282168,5.324449297,-2.213236648,stoploss
529,0,0,0,0,1,-1.015799559,1.121768672,-4.008440995,stoploss
530,0,0,0,0,0,-1.006635544,2.068962593,-2.570609713,stoploss
531,0.5,1,0.2215203411,0.2,15,-1.009024903,0.9673054893,-2.813308331,stoploss
532,0.5410628019,32,0.23685622,0.6083333333,240,0.4054295655,3.0545917,-0.9933024354,time_exit
533,0,1,0,0.1428571429,7,-1.015844683,5.734334744,-1.018380976,stoploss
534,0.5493562232,25,0.61445962,0.5583333333,240,1.332407175,4.726811474,-0.5640092509,time_exit
535,0.5662100457,30,0.38245999,0.5583333333,240,4.252955091,6.454224812,-0.7062761152,time_exit
536,0.5,1,0.4369988505,0.3333333333,12,-1.006145296,6.67447463,-1.364938597,stoploss
537,0.5291666667,30,0.403560638,0.5458333333,240,1.547360312,4.939083428,-0.09182138115,time_exit
538,0.4947368421,26,0.3111990511,0.6315789474,209,-1.00673591,3.563296495,-1.837556302,stoploss
539,0.4955357143,23,0.503632498,0.711790393,229,-1.009396129,4.880349238,-1.633047165,stoploss
540,0.2727272727,2,0.2068072259,0.2727272727,22,-1.011043104,1.972699995,-5.275592099,stoploss
541,0.5375,31,0.4816738975,0.4958333333,240,4.325079731,5.505252102,-0.265324812,time_exit
542,0.4,2,0.4221247527,0.1428571429,21,-1.007278013,3.862545459,-3.654602231,stoploss
543,0.5304347826,13,0.4499810822,0.2794117647,136,-1.010770824,3.373661359,-3.163031916,stoploss
544,0,1,0,0.1666666667,6,-1.018251679,1.087585345,-4.119511323,stoploss
545,1,6,0.9133682457,0.6923076923,26,-1.015121991,5.55279503,-3.67464377,stoploss
546,0,0,0,0,7,-1.018980862,6.327529249,-1.280345433,stoploss
547,0,0,0,0,1,-1.010295388,5.012137876,-3.121218348,stoploss
548,0.4,1,0,0.125,8,-1.006745976,3.277580669,-3.703540874,stoploss
549,0,0,0,0,6,-1.014347241,4.951308234,-2.243455355,stoploss
550,0.5072463768,19,0.585202978,0.7191780822,146,-1.012622025,3.755626171,-4.529012068,stoploss
551,0.5555555556,9,0.5904791788,0.8775510204,49,-1.019477612,1.669948928,-6.430687308,stoploss
552,0.4946236559,4,0.4190904498,0.7251908397,131,-1.012699711,1.456838229,-2.363960415,stoploss
553,0.5271966527,27,0.3945094275,0.375,240,4.735918666,6.532426128,-0.3502738167,time_exit
554,0.5208333333,23,0.4366816135,0.2291666667,240,2.675912899,6.187373298,-0.2647100916,time_exit
555,0,1,0,0.1428571429,7,-1.015574175,5.712607243,-4.07108924,stoploss
556,0.5384615385,2,0.5624183634,0.1851851852,27,-1.018895479,0.9014254797,-4.109210849,stoploss
557,0,0,0,0,3,-1.006767169,2.95338587,-4.268150119,stoploss
558,0.5339805825,20,0.3549167543,0.325,240,3.014177236,4.099848908,-0.8390979266,time_exit
559,0.5221238938,26,0.699937246,0.375,240,3.10713293,5.34476417,-0.7130997827,time_exit
560,0.625,2,0.5257063329,0.6842105263,19,-1.025085572,0.97615595,-8.294598883,stoploss
561,0,2,0.2791690461,0.5714285714,7,-1.013441473,0.2905425998,-7.677148767,stoploss
562,0,0,0,0,1,-1.022609546,6.100055545,-1.141028428,stoploss
563,0.75,4,0.5683527189,0.7647058824,17,-1.01959837,0.8221000307,-6.037329335,stoploss
564,0,1,0,0.5,2,-1.011336414,2.567697771,-2.910624295,stoploss
565,0.5135135135,14,0.505756935,0.48,100,-1.006367443,3.419317121,-3.648545084,stoploss
566,0.6666666667,3,0.2874486859,0.5833333333,12,-1.022916186,0.4951888973,-6.455390071,stoploss
567,0.5454545455,10,0.3804268533,0.2307692308,65,-1.015785347,7.20758926,-7.074992348,stoploss
568,0.5454545455,7,0.3309520371,0.76,25,-1.010342251,3.584164595,-2.196004662,stoploss
569,0.5483870968,9,0.4060799293,0.4137931034,58,-1.021175947,1.623074074,-3.730703647,stoploss
570,0.625,2,1.205593109,0.875,48,-1.012757599,4.174924286,-3.71884012,stoploss
571,0,1,0,0.2,5,-1.019273017,1.306710556,-3.622042336,stoploss
